#geom;width;cost;start_time;end_time;iteration
LINESTRINGZ(-36.8109 46.4394 0, -38.7325 44.6656 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(24.8362 -56.0975 0, 22.7019 -52.7144 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(22.7019 -52.7144 0, 20.5677 -49.3314 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(20.5677 -49.3314 0, 18.4334 -45.9484 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(18.4334 -45.9484 0, 16.2991 -42.5653 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(16.2991 -42.5653 0, 14.1649 -39.1823 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(14.1649 -39.1823 0, 12.0306 -35.7993 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(12.0306 -35.7993 0, 9.89633 -32.4162 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(9.89633 -32.4162 0, 7.76207 -29.0332 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(7.76207 -29.0332 0, 5.62781 -25.6501 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(5.62781 -25.6501 0, 3.49354 -22.2671 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(3.49354 -22.2671 0, 1.35928 -18.8841 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(1.35928 -18.8841 0, -0.774983 -15.501 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-0.774983 -15.501 0, -2.90925 -12.118 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-2.90925 -12.118 0, -5.04351 -8.73498 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-5.04351 -8.73498 0, -7.17777 -5.35194 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-7.17777 -5.35194 0, -9.31204 -1.96891 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-9.31204 -1.96891 0, -11.4463 1.41412 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-11.4463 1.41412 0, -13.5806 4.79716 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-13.5806 4.79716 0, -15.7148 8.18019 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-15.7148 8.18019 0, -17.8491 11.5632 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-17.8491 11.5632 0, -19.9834 14.9463 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-19.9834 14.9463 0, -22.1176 18.3293 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-22.1176 18.3293 0, -24.2519 21.7123 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-24.2519 21.7123 0, -26.3861 25.0954 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-26.3861 25.0954 0, -28.5204 28.4784 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-28.5204 28.4784 0, -30.6547 31.8614 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-30.6547 31.8614 0, -32.7889 35.2445 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-32.7889 35.2445 0, -34.9232 38.6275 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-34.9232 38.6275 0, -37.0575 42.0105 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-37.0575 42.0105 0, -38.7325 44.6656 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-38.7325 44.6656 0, -40.887 48.0358 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-40.887 48.0358 0, -43.0416 51.4059 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-43.0416 51.4059 0, -45.1962 54.7761 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-45.1962 54.7761 0, -47.3507 58.1462 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(-47.3507 58.1462 0, -49.5053 61.5164 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(32.9684 -69.6618 0, 31.1694 -66.0892 0);9;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(31.1694 -66.0892 0, 29.3703 -62.5166 0);9;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(24.8362 -56.0975 0, 26.3542 -52.3967 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(29.3703 -62.5166 0, 29.2705 -62.3185 0);9;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(26.3542 -52.3967 0, 27.8722 -48.6959 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(29.2705 -62.3185 0, 26.9488 -59.0613 0);9;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
LINESTRINGZ(27.8722 -48.6959 0, 29.3902 -44.9952 0);4;10;2014-08-30 00:00:01;2014-08-30 00:00:02;1
